city,country,lat,long,temp,humidity,cloudiness,wind_speed
Busselton,AU,-33.65,115.33,61.12,100,76,10.87
Lima,US,40.74,-84.11,55.99,100,90,16.11
Hermanus,ZA,-34.42,19.23,63.23,59,0,3.71
Uray,RU,60.12,64.78,23.09,89,80,5.84
Butaritari,KI,3.07,172.79,83.44,100,0,1.14
Koslan,RU,63.46,48.9,33.17,84,88,7.29
Tuktoyaktuk,CA,69.45,-133.04,3.2,84,90,9.17
Bowen,AU,-20.02,148.23,68,94,75,1.12
Lalibela,ET,12.03,39.03,50.77,55,0,1.92
Novochernorechenskiy,RU,56.27,91.08,21.47,85,36,6.06
Ixtapa,MX,20.7,-105.2,82.08,65,0,2.04
Urubicha,BO,-15.38,-62.95,84.47,72,56,4.72
Narsaq,GL,60.92,-46.05,23,57,90,3.36
Ushuaia,AR,-54.8,-68.3,33.8,100,75,24.16
Bluff,NZ,-46.6,168.33,50.63,100,0,9.98
Mahebourg,MU,-20.41,57.7,77,83,75,5.82
Soria,ES,41.76,-2.47,33.94,74,0,2.37
Rikitea,PF,-23.12,-134.97,73,100,48,18.59
Vaini,TO,-21.2,-175.2,78.8,94,75,2.24
Bonavista,CA,48.65,-53.11,43.57,93,48,3.6
Kapaa,US,22.08,-159.32,74.5,78,1,4.7
Visnes,NO,59.36,5.22,44.6,75,75,28.86
Hit,IQ,33.64,42.83,56.48,82,36,7.74
Mwingi,KE,-0.93,38.06,61.07,91,36,1.81
Tecalitlan,MX,19.47,-103.3,80.6,69,5,11.41
Baruun-Urt,MN,46.68,113.28,-0.27,59,0,10.2
Hobart,AU,-42.88,147.33,59,77,0,6.93
Albany,AU,-35.02,117.89,60.71,91,68,4.16
Port-Cartier,CA,50.03,-66.87,35.6,69,75,6.93
Srednekolymsk,RU,67.45,153.68,-2.3,71,68,7.96
Castro,CL,-42.47,-73.77,51.35,100,92,8.97
Pisco,PE,-13.7,-76.22,68,77,0,11.41
Nanortalik,GL,60.14,-45.24,28.58,98,24,31.12
Durango,US,37.28,-107.88,39.29,34,1,2.93
Souillac,MU,-20.52,57.52,77,83,75,5.82
Saint-Francois,GP,16.25,-61.27,86,66,92,13.87
Hithadhoo,MV,-0.6,73.08,82.85,100,56,9.86
Chapais,CA,49.78,-74.85,17.6,92,90,6.93
Oudtshoorn,ZA,-33.59,22.2,60.8,77,0,3.36
Barrow,US,71.29,-156.79,12.2,78,90,5.61
Nouadhibou,MR,20.93,-17.03,68,82,0,10.29
Cariamanga,EC,-4.33,-79.55,84.74,37,0,2.15
Iqaluit,CA,63.75,-68.51,12.2,66,75,12.75
Poum,NC,-20.23,164.02,75.11,100,88,7.63
Jamestown,SH,-15.94,-5.72,68.05,100,64,15.79
Upernavik,GL,72.79,-56.15,8.65,100,0,13.78
Dikson,RU,73.51,80.55,-4.32,100,12,10.42
